# Source: UPS Tracking Web Service status codes
#   - 数据来源：rocketshipit PHP API docs（业内常用第三方 docs 站，整理自 UPS 官方
#     Track Web Service Developer Guide 状态码表）
#     URL: https://docs.rocketshipit.com/php/1-0/tracking-parameters.html
#     抓取日期: 2026-05-13
#   - 同步参考：infor/ups-api-documentation/Tracking.yaml（UPS-API GitHub repo）
# Reviewer: @zhatrix
# Coverage: ✅ W3 complete — 774 个 2 字符状态码（字母 AA-ZZ + 数字 0-9 系列）
# Note: UPS Tracking API 中 activity[].status.code 字段返回这些 2 字符代码，
#       消费方应优先使用 status.code 作为事件级 timeline 主轴。
#       activity[].status.type 4 个分类（X/I/U/D 即 Exception/In-progress/
#       Update/Delivery）作为元数据辅助分类，本映射未独立纳入。
#       activity[].status.statusCode（3 位数字详情码）和 currentStatus.statusCode
#       属于不同字段命名空间，需要 UPS API Codes 完整字典补全（待社区贡献）。
# Note: 本映射采用规则化关键词分类（automated rule-based classification）批量
#       生成，55% 落入 exception（UPS 的细分操作异常本身极多）。所有条目 notes
#       标注 "automated rule-based classification; awaiting community review"，
#       邀请社区 PR 细化具体码到更精确 ULSC 状态。
carrier_code,carrier_name,olts_code,notes
C5,AN EMERGENCY SITUATION OR SEVERE WEATHER CONDITION HAS DELAYED DELIVERY.,delivery_attempted,automated rule-based classification; awaiting community review
C6,YOUR PKG ENCOUNTERED A DELAY. EXPECT DELIVERY TO BE POSTPONED BY 1 BUSINESS DAY.,exception,automated rule-based classification; awaiting community review
C7,NO DOLLAR AMOUNT LISTED ON THE C.O.D. TAG. UPS ATTEMPTING TO OBTAIN THIS INFO,address_issue,automated rule-based classification; awaiting community review
C8,THE RECEIVER IS OUT OF BUSINESS,exception,automated rule-based classification; awaiting community review
C9,THE PACKAGE EXCEEDS THE MAXIMUM LENGTH ACCEPTABLE IN THE UPS SYSTEM,exception,automated rule-based classification; awaiting community review
DA,RELEASED BY CLEARING AGENCY. NOW IN-TRANSIT,customs_released,automated rule-based classification; awaiting community review
DB,THIS SHIPMENT IS WAREHOUSED UNTIL IT IS RELEASED BY CLEARING AGENCY,customs_released,automated rule-based classification; awaiting community review
DC,YOUR PACKAGE ARRIVED LATE TO THE DESTINATION CITY CAUSING A DELIVERY DELAY.,exception,automated rule-based classification; awaiting community review
DD,UPS WAS UNABLE TO CONTACT THE RECEIVER,exception,automated rule-based classification; awaiting community review
DE,CLEARING AGENCY IS REQUIRING AN INVOICE COMPARISON TO THE ITEMS BEING SHIPPED,customs_declared,automated rule-based classification; awaiting community review
DF,A NATURAL DISASTER HAS DELAYED DELIVERY.,delivery_attempted,automated rule-based classification; awaiting community review
DG,CIVIL UNREST HAS DELAYED DELIVERY.,delivery_attempted,automated rule-based classification; awaiting community review
DH,THE PACKAGE IS DELAYED DUE TO CIRCUMSTANCES BEYOND UPS’ CONTROL,exception,automated rule-based classification; awaiting community review
DJ,SEVERE WEATHER CONDITIONS HAVE DELAYED DELIVERY.,delivery_attempted,automated rule-based classification; awaiting community review
DL,RETURNED TO SHIPPER,returned_to_sender,automated rule-based classification; awaiting community review
DM,THIS DELIVERY WAS NOT MADE BY THE COMMITMENT TIME,exception,automated rule-based classification; awaiting community review
DN,THE NUMBER OF PIECES DOES NOT MATCH INVOICE; WAYBILL; OR TRACKING LABEL,exception,automated rule-based classification; awaiting community review
DP,THIS COMMODITY IS EXCLUDED IN INTERNATIONAL SERVICE,exception,automated rule-based classification; awaiting community review
DQ,THE ADDRESS IS IN A REMOTE AREA AND DELIVERIES ARE NOT MADE DAILY,exception,automated rule-based classification; awaiting community review
DR,A MECHANICAL FAILURE HAS DELAYED DELIVERY.,delivery_attempted,automated rule-based classification; awaiting community review
DS,THE ADDRESS LABEL IS MISSING OR ILLEGIBLE,exception,automated rule-based classification; awaiting community review
DT,A FAX / EMAIL OR TELEGRAM HAS BEEN SENT TO REQUEST THE RECIPIENT TO CONTACT UPS,exception,automated rule-based classification; awaiting community review
DU,WE WERE UNABLE TO LOAD THE PACKAGE ON THE PLANE AS SCHEDULED.,exception,automated rule-based classification; awaiting community review
DV,SHIPMENT ON THE PRE-ALERT LIST DID NOT ARRIVE. HAS BEEN LISTED AS SHORT LANDED,exception,automated rule-based classification; awaiting community review
DW,RECEIVER’S LOCATION IS VACANT,exception,automated rule-based classification; awaiting community review
DX,TRANSFER NOTIFICATION TO OBTAIN ADDITIONAL INFORMATION REQUIRED FOR DELIVERY,transferred_to_carrier,automated rule-based classification; awaiting community review
